NS_SA_ID,NS_ETAB_ID,TE_STRUCTURE,CO_DEGRE_SPEC,CO_ANNEE_ETUDES,CO_OPTION,TE_INTITULE,DT_DEBUT,DT_FIN,DT_EXPIRATION,TE_STATUT,NS_PARAM_ID_SA,NS_OBJ_ID_DEGR_SPEC,NS_OBJ_ID_ANNEE_ETUDE,NS_OBJ_ID_SA,NS_PARAM_ID_STATUT
232,2159,Option de base simple,1 D3 G,1 D3 5 G,2213,LANGUE MODERNE III ESPAGNOL,2014-09-01,9999-12-31,,En cours,6023,56,121,1596,6030
233,2159,Option de base simple,1 D3 G,1 D3 5 G,2652,SCIENCES ECONOMIQUES,2014-09-01,9999-12-31,,En cours,6023,56,121,1822,6030
235,2159,Option de base simple,1 D3 G,1 D3 5 G,3101,MATHEMATIQUE,2014-09-01,9999-12-31,,En cours,6023,56,121,1629,6030
236,2159,Option de base simple,1 D3 G,1 D3 5 G,6101,SCIENCES,2014-09-01,9999-12-31,,En cours,6023,56,121,2493,6030
241,2159,Option de base groupée,1 D3 P,1 D3 7B P,2636,COMPLEMENT EN SOUDAGE SUR TOLES ET SUR TUBES,2014-09-01,2021-08-31,,En cours,6022,57,128,737,6030
243,2159,Option de base groupée,1 D3 P,1 D3 7B P,3226,CHARPENTIER/CHARPENTIERE,2014-09-01,9999-12-31,,En cours,6022,57,128,795,6030
246,2159,Option de base groupée,1 D3 P,1 D3 7B P,7131,COMPLEMENT EN TECHNIQUES DE VENTE,2014-09-01,9999-12-31,,En cours,6022,57,128,895,6030
248,2159,Option de base groupée,1 D3 P,1 D3 7B P,8216,AIDE-SOIGNANT/AIDE-SOIGNANTE,2014-09-01,9999-12-31,,En cours,6022,57,128,925,6030
256,2159,Option de base groupée,1 D3 TQ,1 D3 5 TQ,7212,TECHNICIEN/TECHNICIENNE DE BUREAU,2014-09-01,9999-12-31,,En cours,6022,58,132,897,6030
257,2159,Option de base groupée,1 D3 TQ,1 D3 5 TQ,8113,AGENT/AGENTE D'EDUCATION,2014-09-01,9999-12-31,,En cours,6022,58,132,912,6030
260,2665,Option de base simple,1 D2 G,1 D2 3 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,49,105,1587,6030
261,2665,Option de base simple,1 D2 G,1 D2 3 G,2121,LANGUE MODERNE II NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,49,105,1591,6030
