NS_SA_ID,CO_ANNEE_ETUDES,PRIMAIRE_SELECT,PRIM_CONNAIT_ECOL_SECOND,1E_SECOND_SELECT,2E_SECOND_SELECT,3E_SECOND_SELECT,4E_SECOND_SELECT ,5E_SECOND_SELECT ,6E_SECOND_SELECT ,7E_SECOND_SELECT ,1E_CONNAIT_CHOIX_3E,1E_OBTENIR_CEB,2E_EXERC_METIER_FIN_SECOND,2E_TMP_PARTIEL_ECOL_ENTREPR,2E_ORIENT_ENSEIGN_GEN,2E_ORIENT_ENSEIGN_TECH_PRO,2E_PAS_CEB,3E_CHANG_OPT_FILIERE,3E_EXERC_METIER_FIN_SECOND,3E_REORIENT_FIN_3E,3E_TMP_PARTIEL_ECOL_ENTREPR,4E_CHANG_OPT_FILIERE,4E_EXERC_METIER_FIN_SECOND,4E_REORIENT_FIN_4E,4E_TMP_PART_ECOL_ENTREP,5E_CONNAIT_DIFF_POSS_SUP,5E_CONNAIT_HECOL_UNIV_PLAIT_M,5E_DECOUV_METIER_MOND_TRAV,6E_CONNAIT_APPORT_7E,6E_CONNAIT_DIFF_BACH_MSTR,6E_CONNAIT_DIFF_HECOL_UNIV,6E_CONNAIT_DIFF_POSS_SUP,6E_CONNAIT_ECOL_OFFRE_7E,6E_CONNAIT_HECOL_UNIV_PLAIT_M,6E_REAL_PROJ_ETRANG_FIN_6E,7E_CONNAIT_DIFF_BACH_MSTR,7E_CONNAIT_DIFF_HECOL_UNIV,7E_CONNAIT_HECOL_UNIV_MAT_M,7E_REAL_PROJ_FIN_7E,PRESA_MDR,PRIM_CONNAIT_ECOL_SECOND,PRIM_CONNAIT_OPT_SRT_ENSEIGN_SECOND,PRIM_INFO_VIE_SECOND,PRIM_TEMOIGN_VIE_SECOND,PRIMAIRE
209,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
