DGSP_OBJ_ID,NS_ETAB_ID,1E_OBTENIR_CEB
1 D1 1D                  ,1901,1e_obtenir_ceb
1 D1 1D                  ,1902,1e_obtenir_ceb
1 D1 1D                  ,1981,1e_obtenir_ceb
1 D1 1D                  ,1984,1e_obtenir_ceb
1 D1 1D                  ,1985,1e_obtenir_ceb
1 D1 1D                  ,1986,1e_obtenir_ceb
1 D1 1D                  ,1988,1e_obtenir_ceb
1 D1 1D                  ,1992,1e_obtenir_ceb
1 D1 1D                  ,1994,1e_obtenir_ceb
1 D1 1D                  ,1995,1e_obtenir_ceb
1 D1 1D                  ,1998,1e_obtenir_ceb
1 D1 1D                  ,2001,1e_obtenir_ceb
1 D1 1D                  ,2002,1e_obtenir_ceb
1 D1 1D                  ,2004,1e_obtenir_ceb
1 D1 1D                  ,2009,1e_obtenir_ceb
1 D1 1D                  ,2017,1e_obtenir_ceb
1 D1 1D                  ,2019,1e_obtenir_ceb
1 D1 1D                  ,2020,1e_obtenir_ceb
1 D1 1D                  ,2022,1e_obtenir_ceb
1 D1 1D                  ,2026,1e_obtenir_ceb
1 D1 1D                  ,2027,1e_obtenir_ceb
1 D1 1D                  ,2038,1e_obtenir_ceb
1 D1 1D                  ,2040,1e_obtenir_ceb
1 D1 1D                  ,2043,1e_obtenir_ceb
1 D1 1D                  ,2044,1e_obtenir_ceb
1 D1 1D                  ,2073,1e_obtenir_ceb
1 D1 1D                  ,2101,1e_obtenir_ceb
1 D1 1D                  ,2123,1e_obtenir_ceb
1 D1 1D                  ,2124,1e_obtenir_ceb
1 D1 1D                  ,2125,1e_obtenir_ceb
1 D1 1D                  ,2128,1e_obtenir_ceb
1 D1 1D                  ,2129,1e_obtenir_ceb
1 D1 1D                  ,2133,1e_obtenir_ceb
1 D1 1D                  ,2159,1e_obtenir_ceb
1 D1 1D                  ,2174,1e_obtenir_ceb
1 D1 1D                  ,2175,1e_obtenir_ceb
1 D1 1D                  ,2215,1e_obtenir_ceb
