NS_SA_ID,PRIMAIRE_SELECT,PRIM_CONNAIT_ECOL_SECOND,CO_ANNEE_ETUDES
232260,primaire_select,prim_connait_ecol_second,1 DQ 5 TQ
232261,primaire_select,prim_connait_ecol_second,1 DQ 5 TQ
232262,primaire_select,prim_connait_ecol_second,1 DQ 5 TQ
232263,primaire_select,prim_connait_ecol_second,1 DQ 5 TQ
232265,primaire_select,prim_connait_ecol_second,1 DQ 5 P
232267,primaire_select,prim_connait_ecol_second,1 DQ 5 P
232268,primaire_select,prim_connait_ecol_second,1 DQ 5 P
232269,primaire_select,prim_connait_ecol_second,1 DQ 5 P
232270,primaire_select,prim_connait_ecol_second,1 DQ 5 P
232272,primaire_select,prim_connait_ecol_second,1 DQ 5 P
232274,primaire_select,prim_connait_ecol_second,1 DQ 5 P
232276,primaire_select,prim_connait_ecol_second,1 DQ 5 P
232277,primaire_select,prim_connait_ecol_second,1 DQ 5 P
