"NS_ETAB_ID","CO_ETUDE_ID","TE_LIBL_CRT","CO_UNI_ID","DT_DEBUT","DT_FIN"
2823,GT22 ,"1 D2 4 G                 ","112",2014-09-01,2017-08-31
2823,GT31 ,"1 D3 5 G                 ","112",2014-09-01,2017-08-31
2823,GT32 ,"1 D3 6 G                 ","112",2014-09-01,2017-08-31
2823,GT33L,"1 D3 7L G                ","112",2014-09-01,2017-08-31
2823,GT33M,"1 D3 7M G                ","112",2014-09-01,2017-08-31
2823,GT33P,"1 D3 7PES                ","112",2017-09-01,9999-12-31
2823,GT33S,"1 D3 7S G                ","112",2014-09-01,2017-08-31
2823,TT21 ,"1 D2 3 TT                ","112",2014-09-01,2017-08-31
2823,TT22 ,"1 D2 4 TT                ","112",2014-09-01,2017-08-31
2823,TT22R,"1 D2 4R TT               ","112",2017-09-01,9999-12-31
2824,DASPA,DASPA                    ,"112",2019-09-01,2020-08-31
2824,DASPA,DASPA                    ,"112",2020-09-01,9999-12-31
2824,GT11C,"1 D1 1C                  ","112",2014-09-01,9999-12-31
2824,GT11D,"1 D1 1D                  ","112",2014-09-01,9999-12-31
2824,GT12C,"1 D1 2C                  ","112",2014-09-01,9999-12-31
2824,GT12S,"1 D1 2S                  ","112",2014-09-01,9999-12-31
2824,GT2D ,"1 D1 2D                  ","112",2014-09-01,9999-12-31
2824,GT21 ,"1 D2 3 G                 ","112",2018-09-01,9999-12-31
2824,GT22 ,"1 D2 4 G                 ","112",2018-09-01,9999-12-31
2824,GT31 ,"1 D3 5 G                 ","112",2018-09-01,9999-12-31
2824,GT32 ,"1 D3 6 G                 ","112",2018-09-01,9999-12-31
2824,GT33L,"1 D3 7L G                ","112",2014-09-01,9999-12-31
2824,GT33M,"1 D3 7M G                ","112",2014-09-01,9999-12-31
2824,GT33P,"1 D3 7PES                ","112",2014-09-01,9999-12-31
2824,GT33S,"1 D3 7S G                ","112",2014-09-01,9999-12-31
2824,PC4  ,"1 DQ 4 P                 ","112",2018-09-01,9999-12-31
2824,PC4C ,R DQ 4 P                 ,"119",2018-09-01,9999-12-31
2824,PC5  ,"1 DQ 5 P                 ","112",2019-09-01,9999-12-31
2824,PC5C ,R DQ 5 P                 ,"119",2019-09-01,9999-12-31
2824,PC6  ,"1 DQ 6 P                 ","112",2020-09-01,9999-12-31
2824,PC6C ,R DQ 6 P                 ,"119",2020-09-01,9999-12-31
2824,PQD2C,R DQ C2D P               ,"119",2019-09-01,9999-12-31
2824,PQI24,R D2 P 45                ,"119",2018-09-01,9999-12-31
2824,PQI3 ,R D2 3 P                 ,"119",2018-09-01,9999-12-31
2824,PQI34,R D3 P 45                ,"119",2018-09-01,9999-12-31
2824,PQI4 ,R D2 4 P                 ,"119",2018-09-01,9999-12-31
2824,PQSC ,R D3 3 C P               ,"119",2018-09-01,9999-12-31
2824,PQS1 ,R D3 5 P                 ,"119",2018-09-01,9999-12-31
2824,PQS2 ,R D3 6 P                 ,"119",2018-09-01,9999-12-31
2824,PQS3 ,R D3 7B P                ,"119",2018-09-01,9999-12-31
2824,PQ2CC,"1 DQ C2D P               ","112",2019-09-01,9999-12-31
2824,PQ21 ,"1 D2 3 P                 ","112",2018-09-01,9999-12-31
2824,PQ22 ,"1 D2 4 P                 ","112",2018-09-01,9999-12-31
2824,PQ3C ,"1 D3 3C P                ","112",2018-09-01,9999-12-31
