"NS_HABI_ID","NS_FORM_ID","NS_ETAB_ID_REF","NS_OBJ_MODHO_ID","NS_OBJ_MODLI_ID","NS_OBJ_MODPE_ID"
278,323,5224,"3688","3683;3685","3690"
279,739,5224,"3688","3683;3685","3690"
280,324,5224,"3688","3683;3685","3690"
281,325,5224,"3688","3683;3685","3690"
282,326,5224,"3688","3683;3685","3690"
283,327,5224,"3688","3683;3685","3690"
284,328,5224,"3688","3685","3690"
285,740,5224,"3688","3683","3690"
286,355,5224,"3688","3683","3690"
287,356,5224,"3688","3683;3685","3690"
288,357,5224,"3688","3683;3685","3690"
289,358,5224,"3688","3683;3685","3690"
290,359,5224,"3688","3683;3685","3690"
291,360,5224,"3688","3683;3685","3690"
292,362,5224,"3688","3683","3690"
293,416,5224,"3688","3683","3690"
294,417,5224,"3688","3685","3690"
295,418,5224,"3688","3685","3690"
296,420,5224,"3688","3685","3690"
297,421,5224,"3688","3685","3690"
298,423,5224,"3688","3685","3690"
299,424,5224,"3688","3685","3690"
300,426,5224,"3688","3685","3690"
301,427,5224,"3688","3685","3690"
302,428,5224,"3688","3685","3690"
303,429,5224,"3688","3685","3690"
304,444,5224,"3688","3683","3690"
305,445,5224,"3688","3683","3690"
306,446,5224,"3688","3683","3690"
307,447,5224,"3688","3683","3690"
308,449,5224,"3688","3683","3690"
309,709,5224,"3688","3683","3690"
310,711,5224,"3688","3683;3685","3690"
311,62,5224,"3688","3683","3690"
313,78,5224,"3688","3683","3690"
314,80,5224,,,
315,85,5224,,,
316,101,5224,"3689","3683;3685","3690"
317,1,5223,"3688","3683","3690"
318,2,5223,"3688","3683","3690"
319,3,5223,"3688","3683","3690"
320,7,5223,"3688","3683","3690"
321,11,5223,"3688","3683","3690"
322,12,5223,"3688","3683","3690"
323,13,5223,"3688","3683","3690"
324,16,5223,"3688","3683","3690"
325,17,5223,"3688","3683","3690"
326,18,5223,"3688","3683","3690"
327,19,5223,"3688","3683","3690"
328,20,5223,"3688","3683","3690"
329,21,5223,"3688","3683","3690"
330,22,5223,"3688","3683","3690"
331,23,5223,"3688","3683","3690"
332,24,5223,"3688","3683","3690"
333,25,5223,"3688","3683","3690"
334,26,5223,"3688","3683","3690"
335,27,5223,"3688","3683","3690"
336,28,5223,"3688","3683","3690"
337,29,5223,"3688","3683","3690"
338,31,5223,"3688","3683","3690"
339,34,5223,"3688","3683","3690"
340,37,5223,"3688","3683","3690"
341,38,5223,"3688","3683","3690"
342,39,5223,"3688","3683","3690"
343,40,5223,"3688","3683","3690"
344,42,5223,"3688","3683","3690"
345,43,5223,"3688","3683","3690"
346,60,5223,"3688","3683","3690"
347,61,5223,"3688","3683","3690"
348,62,5223,"3688","3683","3690"
349,63,5223,"3688","3683","3690"
351,64,5223,"3688","3683","3690"
352,65,5223,"3730","3683","3690"
353,78,5223,"3688","3683","3690"
354,79,5223,"3688","3683","3690"
355,81,5223,"3688","3683","3690"
356,726,5223,"3689","3685","3690"
357,726,5223,"3689","3683","3690"
358,82,5223,"3688","3683","3690"
359,83,5223,"3688","3685","3690"
360,84,5223,"3688","3683","3690"
361,85,5223,"3688","3683","3690"
362,86,5223,"3688","3683","3690"
363,88,5223,"3688","3683","3690"
364,89,5223,"3688","3683","3690"
365,90,5223,"3689","3683","3690"
366,90,5223,"3688","3683","3690"
367,90,5223,"3730","3683","3690"
368,741,5223,"3688","3683","3691"
369,91,5223,"3688","3683","3690"
370,93,5223,"3688","3683","3690"
371,97,5223,"3688","3683","3690"
372,100,5223,"3688","3683","3690"
373,101,5223,"3688","3683","3690"
374,102,5223,"3688","3683","3690"
375,103,5223,"3688","3683","3690"
376,106,5223,"3688","3683","3690"
377,107,5223,"3688","3683","3690"
378,109,5223,"3688","3683","3690"
379,111,5223,"3688","3683","3690"
380,112,5223,"3688","3683","3690"
381,141,5223,"3688","3683","3690"
382,142,5223,"3688","3683;3685","3690"
383,144,5223,"3688","3683","3690"
384,145,5223,"3688","3685","3690"
385,146,5223,"3688","3685","3690"
386,148,5223,"3688","3685","3690"
387,149,5223,"3688","3683","3690"
389,154,5223,"3689","3685","3690"
390,185,5223,"3688","3683","3690"
391,186,5223,"3688","3683","3690"
392,187,5223,"3688","3683","3690"
393,187,5223,"3730","3683","3690"
394,188,5223,"3688","3683","3690"
395,189,5223,"3688","3683","3690"
396,194,5223,"3688","3683","3690"
397,195,5223,"3688","3683","3690"
398,196,5223,"3688","3683","3690"
399,197,5223,"3688","3683","3690"
400,198,5223,"3688","3683","3690"
401,199,5223,"3688","3683","3690"
